rank_au,whisky,expression,brand,style,age,abv,size_ml,store,state,price_aud,in_stock,product_url,store_url,store_logo,last_seen,source,popularity_group
1,Johnnie Walker Red Label,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Dan Murphy's,AU,49.0,True,https://www.danmurphys.com.au/whisky/all?search=Johnnie+Walker+Red+Label,https://www.danmurphys.com.au/whisky/all,assets/stores/dan_murphys.svg,2026-03-31,curated_seed,Top 10
1,Johnnie Walker Red Label,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,BWS,AU,49.02,True,https://bws.com.au/spirits/whisky?search=Johnnie+Walker+Red+Label,https://bws.com.au/spirits/whisky,assets/stores/bws.svg,2026-03-31,curated_seed,Top 10
1,Johnnie Walker Red Label,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Liquorland,AU,48.47,True,https://www.liquorland.com.au/spirits/whisky?search=Johnnie+Walker+Red+Label,https://www.liquorland.com.au/spirits/whisky,assets/stores/liquorland.svg,2026-03-31,curated_seed,Top 10
1,Johnnie Walker Red Label,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,First Choice,AU,47.49,True,https://www.firstchoiceliquor.com.au/spirits/whisky?search=Johnnie+Walker+Red+Label,https://www.firstchoiceliquor.com.au/spirits/whisky,assets/stores/first_choice.svg,2026-03-31,curated_seed,Top 10
2,Johnnie Walker Black Label 12YO,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Dan Murphy's,AU,57.0,True,https://www.danmurphys.com.au/whisky/all?search=Johnnie+Walker+Black+Label+12YO,https://www.danmurphys.com.au/whisky/all,assets/stores/dan_murphys.svg,2026-03-31,curated_seed,Top 10
2,Johnnie Walker Black Label 12YO,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,BWS,AU,56.82,False,https://bws.com.au/spirits/whisky?search=Johnnie+Walker+Black+Label+12YO,https://bws.com.au/spirits/whisky,assets/stores/bws.svg,2026-03-31,curated_seed,Top 10
2,Johnnie Walker Black Label 12YO,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Liquorland,AU,61.77,True,https://www.liquorland.com.au/spirits/whisky?search=Johnnie+Walker+Black+Label+12YO,https://www.liquorland.com.au/spirits/whisky,assets/stores/liquorland.svg,2026-03-31,curated_seed,Top 10
2,Johnnie Walker Black Label 12YO,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,First Choice,AU,58.59,True,https://www.firstchoiceliquor.com.au/spirits/whisky?search=Johnnie+Walker+Black+Label+12YO,https://www.firstchoiceliquor.com.au/spirits/whisky,assets/stores/first_choice.svg,2026-03-31,curated_seed,Top 10
3,Johnnie Walker Double Black,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Dan Murphy's,AU,66.0,False,https://www.danmurphys.com.au/whisky/all?search=Johnnie+Walker+Double+Black,https://www.danmurphys.com.au/whisky/all,assets/stores/dan_murphys.svg,2026-03-31,curated_seed,Top 10
3,Johnnie Walker Double Black,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,BWS,AU,65.7,True,https://bws.com.au/spirits/whisky?search=Johnnie+Walker+Double+Black,https://bws.com.au/spirits/whisky,assets/stores/bws.svg,2026-03-31,curated_seed,Top 10
3,Johnnie Walker Double Black,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Liquorland,AU,65.95,True,https://www.liquorland.com.au/spirits/whisky?search=Johnnie+Walker+Double+Black,https://www.liquorland.com.au/spirits/whisky,assets/stores/liquorland.svg,2026-03-31,curated_seed,Top 10
3,Johnnie Walker Double Black,Blended Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,First Choice,AU,67.65,True,https://www.firstchoiceliquor.com.au/spirits/whisky?search=Johnnie+Walker+Double+Black,https://www.firstchoiceliquor.com.au/spirits/whisky,assets/stores/first_choice.svg,2026-03-31,curated_seed,Top 10
4,Johnnie Walker Green Label 15YO,Blended Malt Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Dan Murphy's,AU,97.0,True,https://www.danmurphys.com.au/whisky/all?search=Johnnie+Walker+Green+Label+15YO,https://www.danmurphys.com.au/whisky/all,assets/stores/dan_murphys.svg,2026-03-31,curated_seed,Top 10
4,Johnnie Walker Green Label 15YO,Blended Malt Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,BWS,AU,91.1,True,https://bws.com.au/spirits/whisky?search=Johnnie+Walker+Green+Label+15YO,https://bws.com.au/spirits/whisky,assets/stores/bws.svg,2026-03-31,curated_seed,Top 10
4,Johnnie Walker Green Label 15YO,Blended Malt Scotch Whisky 700mL,Johnnie Walker,Scotch,,,700,Liquorland,AU,95.85,True,https://www.liquorland.com.au/spirits/whisky?search=Johnnie+Walker+Green+Label+15YO,https://www.liquorland.com.au/spirits/whisky,assets/stores/liquorland.svg,2026-03-31,curated_seed,Top 10
